user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10
rep_1,1386,622,1015,1510,1596,1904,870,2763,2710,2735
rep_2,1095,1759,1279,2018,1218,1603,2442,835,2431,1697
rep_3,1184,1881,915,1042,1424,1538,815,1918,2219,1249
