user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10
rep_1,530,745,677,454,483,1005,810,782,973,1084
rep_2,530,632,809,453,446,449,436,786,809,993
rep_3,521,683,661,486,377,936,926,786,779,776
