position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
-0.04520916676999127,-0.48460183972923354,0.21435307134036194,0.7467047572135925,0.6645312047923382,0.01983842133202589,0.020898250501432656
-0.04520917236966021,-0.48460181903469224,0.21435301618714026,0.7467048764228821,0.6645310575178796,0.01983852212019917,0.02089825368464731
-0.04520916046141006,-0.48460182344824443,0.21435301521146652,0.7467048168182373,0.6645311354262876,0.019838475210094544,0.020898221244550357
-0.04520918948257024,-0.48460182074082025,0.21435301521146652,0.7467048168182373,0.6645311354262876,0.019838473958570878,0.020898222432609376
-0.04520919579115241,-0.4846018370218089,0.21435307134036194,0.7467048764228821,0.6645310632184301,0.01983842232499912,0.020898247783226045
-0.04520914334850014,-0.4846018217421154,0.21435301618714026,0.7467048168182373,0.6645311306300056,0.01983852167226655,0.020898254468290453
-0.04520916676999127,-0.48460183972923354,0.21435307134036194,0.7467048168182373,0.6645311363305522,0.01983842187706595,0.02089824856686627
-0.04520918948257024,-0.48460182074082025,0.21435301521146652,0.7467048168182373,0.6645311307759636,0.01983847511299021,0.02089822239547759
-0.04520915866455435,-0.4846018415805366,0.21435301540274374,0.7467048168182373,0.6645311347439561,0.01983844002345858,0.02089826974829782
-0.04520919579115241,-0.4846018370218089,0.21435307134036194,0.7467047572135925,0.6645312001420187,0.01983842123491931,0.02089825165235912
-0.04520914334850014,-0.4846018217421154,0.21435301618714026,0.7467048764228821,0.6645310528590768,0.019838524528248937,0.020898252459385293
-0.045209176881390506,-0.48460185344797335,0.2143530725073137,0.7467048764228821,0.6645310577398108,0.01983843360053042,0.020898329510709635
-0.04520918948257024,-0.48460182074082025,0.21435301521146652,0.7467047572135925,0.6645311992377542,0.0198384745679535,0.020898224330046095
-0.04520919579115241,-0.4846018370218089,0.21435307134036194,0.7467047572135925,0.6645312001420187,0.01983842123491931,0.02089825165235912
-0.04520916046141006,-0.48460182344824443,0.21435301521146652,0.7467048168182373,0.6645311354262876,0.019838475210094544,0.020898221244550357
-0.04520916046141006,-0.48460182344824443,0.21435301521146652,0.7467048168182373,0.6645311354262876,0.019838475210094544,0.020898221244550357
-0.045209137748829946,-0.4846018424366564,0.21435307134036194,0.7467047572135925,0.6645312094426554,0.0198384214291324,0.020898249350506187
-0.04518733568525233,-0.4846111922960709,0.2143722695192427,0.7466831207275391,0.6645550946653928,0.019838175796641766,0.020910959220901956
-0.04518683474740144,-0.48461101260583084,0.2143725855194332,0.7466825246810913,0.6645557540578901,0.01983888030786557,0.02091045207810502
-0.045187095357833544,-0.4846103274273015,0.21437266928799095,0.7466825842857361,0.6645556954081638,0.019840193782827174,0.020908999000339604
-0.04518706126207536,-0.48460983345588704,0.21437274839074869,0.7466822266578674,0.6645561527938101,0.01984115062152509,0.020907658698927835
-0.04518699595847177,-0.48461007234296016,0.21437264828591865,0.7466819286346436,0.6645564499759468,0.01984128361786031,0.020907393707147
-0.04518696785936257,-0.48461007105434534,0.2143726352788183,0.7466819286346436,0.6645564490364751,0.019841336174259153,0.02090743006478599
-0.045186866800059004,-0.4846100856189578,0.21437266434390756,0.7466819882392883,0.6645563808972946,0.019841359053059445,0.02090747146775249
-0.04518688517485833,-0.48460998672167266,0.2143726490875042,0.7466818690299988,0.6645565261219927,0.019841474013354503,0.020907228302458787
-0.04518684901117516,-0.48461008060319327,0.21437270474154532,0.7466818690299988,0.6645565278792546,0.019841434657789373,0.02090733682387257
-0.04516216250384991,-0.48463355502442584,0.2143730542770343,0.7471140027046204,0.664070068665793,0.01981403424760028,0.020952602065137355
-0.04511932591369053,-0.4846613352285847,0.2143733694158787,0.7469866871833801,0.664212647880898,0.01976530178554867,0.021019194802768967
-0.04399770457477786,-0.48453441612843196,0.21426393617345618,0.7478722333908081,0.6632134895080356,0.019884339561997505,0.020967597331645306
-0.03903388922815741,-0.4846130995286189,0.21434169738237788,0.746951699256897,0.6642529839072595,0.019876013561852625,0.02088310869389082
-0.03392935366369519,-0.48487525597367903,0.21432909628960423,0.7438549399375916,0.6677193420834949,0.019946704728426034,0.020805848752713796
-0.03230468403556748,-0.485015896614308,0.2143217657439404,0.7426918148994446,0.6690127096089672,0.01997329381124506,0.020783741828875
-0.032587960907667995,-0.48499773509236793,0.21431995810040802,0.742885947227478,0.6687971724992932,0.019966912560609524,0.02078757250148195
-0.032573923976714325,-0.4849986961764023,0.21431972093640944,0.7428761124610901,0.6688081270495942,0.019967349457304398,0.020787130629558864
-0.032441358980169525,-0.48513396056253105,0.21425406557708412,0.7427502870559692,0.6689545509668413,0.0205863395941927,0.019949395557802854
-0.032281586460066965,-0.488522976201741,0.21397561404573384,0.7426587343215942,0.6690510528620451,0.02063909256721887,0.020068346130548885
-0.03320870157624157,-0.49465804432847366,0.21582346775851544,0.7433878183364868,0.6682158666828596,0.01699937424130063,0.023940465896493287
-0.03364278139339433,-0.4967226894071714,0.21698482772054714,0.7436615228652954,0.6678953494333626,0.015311335650389252,0.025474204995350646
-0.03354814597035352,-0.4969468009033427,0.21664812451875487,0.743632435798645,0.6679290775328801,0.015708574299245492,0.025195413346071286
-0.03353369694462948,-0.49700717140086853,0.21673928371505075,0.7436164021492004,0.6679467077962962,0.015613340983443979,0.02525991016407871
-0.0335410321803018,-0.49701368934194934,0.21677759847415098,0.7436178922653198,0.6679451538457093,0.015579315181963574,0.02527739817641791
-0.03354268801448572,-0.49701669657558545,0.21678885103636636,0.7436179518699646,0.6679451730328713,0.015568840726292239,0.02528319275807286
