a1,a2,a3,a4,a5,a5,a7
-1.940492868423462,0.682848334312439,0.33202606439590454,-1.870739459991455,-0.25477877259254456,0.6320692300796509,0.21538762748241425
-1.9404925107955933,0.6828485131263733,0.332025945186615,-1.870739459991455,-0.2547791600227356,0.6320693492889404,0.21538762748241425
-1.9404923915863037,0.682848334312439,0.33202600479125977,-1.870739459991455,-0.2547794580459595,0.6320693492889404,0.21538762748241425
-1.9404922723770142,0.682848334312439,0.332025945186615,-1.870739459991455,-0.25478002429008484,0.6320692300796509,0.21538743376731873
-1.940491795539856,0.682848334312439,0.3320261240005493,-1.870739459991455,-0.254780113697052,0.6320692300796509,0.2153872549533844
-1.9404897689819336,0.6828482747077942,0.33202725648880005,-1.8707393407821655,-0.25478020310401917,0.6320691108703613,0.21538600325584412
-1.940486192703247,0.6828482747077942,0.3320292532444,-1.870739221572876,-0.25478029251098633,0.6320691108703613,0.21538564562797546
-1.9404860734939575,0.6828482747077942,0.33202749490737915,-1.870739221572876,-0.2547804117202759,0.6320692300796509,0.2153853476047516
-1.9404853582382202,0.6828482151031494,0.33202749490737915,-1.870739221572876,-0.25478020310401917,0.6320692300796509,0.21538546681404114
-1.9404858350753784,0.6828482747077942,0.33202624320983887,-1.870739221572876,-0.25478020310401917,0.6320692300796509,0.2153855860233307
-1.9404857158660889,0.6828482747077942,0.3320261836051941,-1.870739221572876,-0.25478029251098633,0.6320692300796509,0.21538564562797546
-1.9404857158660889,0.682848334312439,0.3320261836051941,-1.870739221572876,-0.25478020310401917,0.6320693492889404,0.21538564562797546
-1.9404858350753784,0.682848334312439,0.3320261836051941,-1.8707393407821655,-0.25478020310401917,0.6320692300796509,0.21538588404655457
-1.940485954284668,0.6828482747077942,0.3320261240005493,-1.870739221572876,-0.25478020310401917,0.6320693492889404,0.21538600325584412
-1.9404860734939575,0.6828482747077942,0.33202606439590454,-1.8707393407821655,-0.25478020310401917,0.6320692300796509,0.21538618206977844
-1.940486192703247,0.682848334312439,0.3320261240005493,-1.8707393407821655,-0.25478020310401917,0.6320692300796509,0.21538642048835754
-1.9404864311218262,0.682848334312439,0.33202606439590454,-1.8707393407821655,-0.25478020310401917,0.6320693492889404,0.2153865396976471
-1.9404710531234741,0.6823976635932922,0.33220386505126953,-1.8702807426452637,-0.2549559473991394,0.6321886777877808,0.2153901308774948
-1.9404771327972412,0.6789044141769409,0.33337825536727905,-1.8679168224334717,-0.2570156157016754,0.6343154907226562,0.21539312601089478
-1.940475344657898,0.661422610282898,0.3375089168548584,-1.862666368484497,-0.2683990001678467,0.6544749140739441,0.21539883315563202
