a1,a2,a3,a4,a5,a5,a7
0.0,0.0,0.0,-1.123616675613448e-05,-5.386822886066511e-05,0.0,-2.2451904442277737e-05
-1.1056617040594574e-05,0.0,0.0,0.0,1.7690586901153438e-05,0.0,-2.2073028958402574e-05
0.0,0.0,0.0,-1.143165718531236e-05,0.0,2.2842530597699806e-05,0.0
0.0,1.0361227396060713e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.923390952171758e-05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0039087101176847e-05,3.209587521268986e-05,0.0,0.0
0.0,0.0,1.144560519605875e-05,0.0,0.0,0.0,0.0
1.1037898730137385e-05,0.0,0.0,1.1037898730137385e-05,0.0,0.0,0.0
-5.140647658663511e-07,1.027194798552955e-06,-5.131300895300228e-07,-5.140647658663511e-07,-8.210081432480365e-07,0.0,0.0
0.0,0.0,0.0,0.0,1.4722071682626847e-05,0.0,0.0
-9.439280802325811e-06,9.439280802325811e-06,0.0,9.439280802325811e-06,-3.017824019480031e-05,0.0,0.0
0.0,0.0,-1.8675773389986716e-05,0.0,0.0,0.0,0.0
9.695168955659028e-06,1.9372710085008293e-05,-9.695168955659028e-06,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.5679557691328228e-05,0.0,2.9399170671240427e-05
-0.00020951154874637723,0.0001089435609173961,0.008640196174383163,-0.015838969498872757,2.682626472960692e-05,0.0,3.351757550262846e-05
-2.876459802791942e-05,-8.626762428320944e-05,0.029229437932372093,-0.029035350307822227,-5.7497789384797215e-05,1.4369212294695899e-05,-1.438229901395971e-05
2.302555185451638e-05,-4.605110370903276e-05,0.029955321922898293,-0.017307013273239136,9.822745050769299e-05,-1.534105285827536e-05,-7.684498996241018e-06
-9.362155105918646e-05,2.3405387764796615e-05,0.036604903638362885,-0.008238440379500389,3.744861896848306e-05,3.1216652132570744e-05,1.5608326066285372e-05
4.510278085945174e-05,1.5043385246826801e-05,0.020076211541891098,-0.0023760609328746796,2.4047514671110548e-05,0.0,0.0
0.0,8.216959031415172e-06,0.0009372721542604268,-0.005549650173634291,0.0,0.0,-1.644888470764272e-05
8.299579349113628e-06,2.4913855668273754e-05,-0.00303939962759614,-0.005912702064961195,-1.3279326594783925e-05,0.0,0.0
-2.4643104552524164e-05,-8.209383850044105e-06,-0.009856943041086197,-0.004969548434019089,-2.6270028683939017e-05,0.0013717596884816885,-2.4643104552524164e-05
-7.63982370699523e-06,6.86750645400025e-05,-0.002960570389404893,-0.0005875302013009787,-2.442520963086281e-05,0.06865006685256958,-1.526575579191558e-05
-7.654912224097643e-06,-4.595735663315281e-05,0.0014093124773353338,0.0016850566025823355,-4.903605440631509e-05,0.11015639454126358,1.5309822629205883e-05
-3.733259654836729e-05,2.9868797355447896e-05,0.020671695470809937,0.017901035025715828,-2.3884162146714516e-05,0.0925297811627388,0.0
-0.0001330842642346397,8.313034413731657e-06,0.023971959948539734,0.011603360995650291,0.0,0.07040209323167801,0.0
-9.91971610346809e-05,0.0,0.017138494178652763,0.02767643891274929,-3.662835297291167e-05,0.052972130477428436,1.5252552657329943e-05
3.541553087416105e-05,2.7252253858023323e-06,0.012673513032495975,0.02468501590192318,-8.71675365488045e-06,0.038613077253103256,0.0
0.0,1.6570387742831372e-05,0.017475910484790802,0.016796749085187912,-6.624536763411015e-05,0.0021948451176285744,0.0
-1.6529151253052987e-05,0.00014870220911689103,-8.261568291345611e-05,0.02861066907644272,2.6446643460076302e-05,0.00879057589918375,0.0
1.2045942639815621e-05,1.2034981409669854e-05,-0.012011810205876827,0.03343438357114792,-0.00011560597340576351,-0.00010236310481559485,1.2034981409669854e-05
1.5326464563258924e-05,0.00027604386559687555,-0.008779454044997692,0.04635094106197357,0.0,-3.834407834801823e-05,7.663232281629462e-06
-0.00036112676025368273,0.009734944440424442,-0.022029219195246696,0.044922009110450745,-0.00013816228602081537,-0.02105572819709778,-1.5692463421146385e-05
5.031633554608561e-05,0.041163619607686996,-0.036613065749406815,0.04275410622358322,3.928436399291968e-06,-0.0053789326921105385,0.0
-7.134709449019283e-05,0.12143693119287491,-0.033801622688770294,0.0421568937599659,-0.00022831068781670183,-0.030543554574251175,0.0
8.26358373160474e-05,0.18595270812511444,-0.028394533321261406,0.04207116365432739,-0.0033451972994953394,-0.01941174827516079,-1.653318395256065e-05
-6.801298877689987e-05,0.2279876172542572,-0.03517674654722214,0.03377873823046684,-0.279104620218277,-0.004466048441827297,0.0
0.0002722099015954882,0.1754462569952011,-0.012801719829440117,0.021891605108976364,-0.4928662180900574,-0.0007753657991997898,-1.648756006034091e-05
0.0001659915578784421,0.08126449584960938,0.002439926378428936,-0.0003236737393308431,-0.5763405561447144,0.0018589937826618552,0.0
0.0005531606147997081,-0.058082178235054016,-0.005424307659268379,-0.0007100276998244226,-0.22324691712856293,-0.005894908681511879,-4.128714863327332e-05
-0.0003081902104895562,-0.12097597867250443,-0.017020313069224358,-0.03184470906853676,0.08416309207677841,-0.0036059319972991943,0.0
0.00019134914327878505,-0.12367934733629227,0.0004076259210705757,-0.07381495833396912,0.32063624262809753,0.0011813064338639379,4.1601590055506676e-05
0.00048548568156547844,-0.09679991751909256,0.01946859061717987,-0.009594401344656944,0.33455052971839905,0.0021476412657648325,-2.4686221877345815e-05
7.072587322909385e-05,-0.035646505653858185,0.019110776484012604,7.65014483476989e-05,0.21762266755104065,0.0002915694785770029,-2.020664032897912e-05
-5.5646294640609995e-05,0.019350090995430946,0.033437345176935196,-0.010223591700196266,0.11660300195217133,-0.0010414323769509792,0.0
0.0001887922699097544,0.11216147989034653,0.08474496752023697,-0.00038580328691750765,0.02475694566965103,-0.03401618450880051,-1.6407622752012685e-05
-7.791317329974845e-06,0.10034763813018799,0.0670907199382782,0.057860489934682846,-0.01163757685571909,-0.07831668853759766,-1.558263465994969e-05
7.209213072201237e-05,0.0958268791437149,0.07348249107599258,0.0804445818066597,-0.10325361788272858,-0.09272637963294983,0.0
-0.00013592235336545855,0.08534260839223862,0.07155896723270416,0.05485716462135315,-0.141310453414917,-0.07606105506420135,9.708199286251329e-06
-0.0001563790865475312,0.052987877279520035,0.05497964471578598,0.01325931865721941,-0.052293237298727036,-0.015152334235608578,0.0
-1.5023023479443509e-05,0.02667372114956379,0.008605633862316608,0.010860387235879898,-0.01651081256568432,-0.025147994980216026,-3.7571240682154894e-05
0.00013961398508399725,0.006718171760439873,0.0005502626881934702,0.008401822298765182,-0.11838433891534805,-0.08709801733493805,-7.390361133730039e-05
-1.5470743164769374e-05,0.0002087775937980041,-0.008397812023758888,-0.0162852443754673,-0.1498057246208191,-0.038594335317611694,5.4140560678206384e-05
-0.00019012874690815806,0.00012675730977207422,-0.004800970666110516,-0.022761020809412003,-0.0808083564043045,-0.03389989957213402,0.0
-0.00010898039909079671,0.0051298304460942745,-0.00948849692940712,-0.031030407175421715,-0.006061910185962915,-0.06439104676246643,-4.191671177977696e-05
4.040711428388022e-05,0.02457273378968239,-0.020401839166879654,-0.02443532645702362,-0.008303017355501652,-0.06398609280586243,0.0
-0.00014203287719283253,0.03344055637717247,-0.023605890572071075,-0.021285517141222954,-0.0642862468957901,-0.046794649213552475,2.9884467949159443e-06
0.0001813887502066791,0.052313998341560364,-0.04129878804087639,-0.014931542798876762,-0.10153778642416,-0.06450822949409485,5.771118958364241e-05
-0.00016003988275770098,0.04596812650561333,-0.03783683478832245,-0.020149167627096176,-0.04059095308184624,-0.058069825172424316,2.2862839614390396e-05
-0.000245696835918352,0.03724637255072594,-0.036616768687963486,-0.035088829696178436,0.00020885768753942102,-0.08424390852451324,-2.3034952391753905e-05
-1.5184322364802938e-05,0.020507166162133217,-0.03671860694885254,-0.014541717246174812,-0.0007164679118432105,-0.09058216214179993,2.276957457070239e-05
0.00023670234077144414,0.0002285447990288958,-0.029057582840323448,-0.018193628638982773,-0.01995503343641758,-0.05352796986699104,-4.897494727629237e-05
6.114823190728202e-05,-0.0013301341095939279,-0.007109337951987982,-0.015158958733081818,-0.024168698117136955,-0.062202922999858856,-7.6539663496078e-06
0.0,-0.00011267203080933541,-0.006341350730508566,-0.010695008561015129,-0.002150270389392972,-0.065948486328125,-3.220037979190238e-05
1.669699304329697e-05,0.00024202282656915486,-0.0019612356554716825,-0.007886692881584167,0.0026706436183303595,-0.056558866053819656,8.340899512404576e-06
-8.22854690341046e-06,0.0001975900522666052,-0.00015643233200535178,-0.021340684965252876,0.017559941858053207,-0.027260413393378258,0.0
0.0,0.0010664556175470352,-0.008740000426769257,-0.014072324149310589,0.0034926694352179766,-0.025653449818491936,-8.326944225700572e-06
-2.4207392925745808e-05,0.0009682663367129862,-0.007108688820153475,-0.00023399500059895217,-7.746365736238658e-05,-0.013378212228417397,8.064234862104058e-06
-7.555448974017054e-06,0.0018445891328155994,-0.006221712566912174,-0.011551386676728725,2.4199454855988733e-05,-0.0030541629530489445,0.0
-3.3491050999145955e-05,0.015859926119446754,-0.015935292467474937,-0.009671717882156372,0.0,0.0,0.0
6.12505609751679e-05,0.03173162415623665,-0.024212216958403587,0.0008805918041616678,-0.0017887281719595194,-0.0057965414598584175,-2.2972444639890455e-05
6.39994177618064e-05,-0.0017330920090898871,0.000523510854691267,0.006908053066581488,1.6381763998651877e-05,9.215906902682036e-05,0.0
-0.00021223553630989045,0.0031077100429683924,-0.0008186129271052778,-0.0010460130870342255,0.00018192011339124292,0.0018039813730865717,0.0
0.00010884566290769726,0.00023440986115019768,-0.0026287096552550793,0.006697376724332571,0.023146092891693115,0.009870238602161407,-1.6749003407312557e-05
5.42354719073046e-05,0.007415181025862694,0.0003099391469731927,0.020184481516480446,0.019625019282102585,0.03545648604631424,-1.5487788914470002e-05
-2.4962831957964227e-05,0.007580157835036516,0.002413003006950021,0.01620871014893055,0.014644409529864788,0.028248745948076248,-5.824155959999189e-05
9.995449363486841e-05,0.008154373615980148,0.00853751227259636,0.014309702441096306,-0.00034649274311959743,0.0294440146535635,2.4988623408717103e-05
-2.4360846509807743e-05,0.008975058794021606,0.008191665634512901,0.017470592632889748,-0.0003323326527606696,0.033270541578531265,0.0
0.0,0.004999393597245216,0.004621942061930895,0.014443558640778065,2.46361469180556e-05,0.02672252058982849,0.0
2.5084880689973943e-05,-5.852631511515938e-05,0.000518410699442029,0.0014047076692804694,4.013580837636255e-05,0.006655652076005936,1.671310565143358e-05
-7.80586833570851e-06,-1.5583351341774687e-05,0.0006548839737661183,0.0005457295337691903,0.000910589995328337,4.67784411739558e-05,-1.5597544916090555e-05
-3.093871055170894e-05,0.0015548638766631484,0.0006033682147972286,0.004130817949771881,0.0090104341506958,0.00784391351044178,-1.5476396583835594e-05
0.0,0.0006218482158146799,0.00021991923858877271,0.003313988447189331,0.01331056747585535,0.00781859178096056,0.0
-7.540634214819875e-06,2.26356387429405e-05,-0.0002112476504407823,4.5271277485881e-05,0.0007484704838134348,0.0005885128630325198,0.0
-2.2363567040883936e-05,0.0,-1.4899997950124089e-05,-4.472713408176787e-05,1.1919998541998211e-05,0.0008870655437931418,2.2363567040883936e-05
1.626797893550247e-05,-1.6253175999736413e-05,-9.757827501744032e-05,1.626797893550247e-05,-0.000559417181648314,8.126587999868207e-06,0.0
-4.4646545575233176e-05,0.000148826336953789,0.00018602276395540684,0.0003497222496662289,-0.00022620194067712873,0.0016965145478025079,-1.488669659011066e-05
-3.078259396716021e-05,6.156518793432042e-05,-0.00012314438936300576,3.078259396716021e-05,0.0,1.5398303730762564e-05,-1.538429205538705e-05
7.325767455768073e-06,-1.7579708583070897e-05,1.7579708583070897e-05,-8.935996447689831e-05,3.2812611607369035e-05,0.001680275541730225,-2.928173444161075e-06
2.4418024622718804e-05,-1.626880475669168e-05,-0.0004964800900779665,-3.256724448874593e-05,3.906884012394585e-05,0.0,0.0
8.118862024275586e-05,3.24665816151537e-05,0.00017858836508821696,0.0007549330475740135,6.492725515272468e-05,0.0,0.0
6.175327871460468e-05,3.087663935730234e-05,0.0001775582495611161,0.0011503059649839997,0.004842041525989771,1.5445346434717067e-05,2.3160993805504404e-05
0.0,-5.2984276408096775e-05,0.0038907683920115232,-0.00018924137111753225,0.005474338307976723,0.012270331382751465,0.0
3.7804507883265615e-05,7.558148354291916e-06,0.00260906177572906,0.0004235040978528559,0.010030899196863174,0.014701507054269314,0.0
-2.528208369767526e-06,5.054116172686918e-06,-6.318450323306024e-05,0.001618775655515492,0.015269322320818901,0.012301942333579063,-5.056416739535052e-06
-3.033035682165064e-05,-2.2751219148631208e-05,-0.00014408644346985966,-3.033035682165064e-05,0.005532919429242611,0.004352937452495098,0.0
-2.297660284966696e-05,3.8285041227936745e-05,-0.00019913520372938365,2.297660284966696e-05,-0.00018381282279733568,0.004648788366466761,2.297660284966696e-05
-7.477725830540294e-06,1.492825958848698e-05,0.0005451941979117692,0.00014936417574062943,0.0,0.0,2.2405985873774625e-05
-7.689000085520092e-06,4.6162014768924564e-05,-1.5378000171040185e-05,4.6162014768924564e-05,-0.00023388006957247853,0.00020004005637019873,-2.3081007384462282e-05
1.530161898699589e-05,-7.657770765945315e-06,-0.00011472732876427472,0.0,-0.0003793576033785939,0.0005812665913254023,-1.5287694623111747e-05
0.0,-2.594592842797283e-06,-2.0749659597640857e-05,0.0,-0.0004191464395262301,0.0002502943971194327,0.0
2.360270627832506e-06,1.4157328223518562e-05,0.00012977192818652838,2.360270627832506e-06,-0.00020008222782053053,4.011171404272318e-05,0.0
0.0,1.526163032394834e-05,0.00022884113423060626,-7.628037565154955e-05,-0.0005858466029167175,0.00017546013987157494,7.623871624673484e-06
-1.4806777471676469e-05,2.222365037596319e-05,-0.00019259598047938198,-2.9627039111801423e-05,-4.74032640340738e-05,0.0006222487427294254,-7.4033887358382344e-06
2.3062142645358108e-05,9.993128333007917e-05,-0.00044584940769709647,-4.6124285290716216e-05,7.379885209957138e-05,0.00011529671610333025,-7.682716386625543e-06
3.053138425457291e-05,6.870603829156607e-05,2.290201337018516e-05,0.0003053555265069008,8.549343328922987e-05,3.816075695795007e-05,0.0
